Language,City Name,Hotel Name,Positive,Negative
English,Ankara,Hotel Ickale,5,5
English,Ankara,Hotel Cinnah,5,5
English,Ankara,New Park Hotel,5,5
English,Ankara,The Green Park Ankara,5,5
English,Ankara,Grand Mercure Ankara,5,5
English,Ankara,Esila Hotel,5,5
English,Ankara,Inn 14 Hostel,5,5
English,Ankara,Güvenay Business Hotel,5,5
English,Ankara,ibis Ankara Airport Hotel,5,5
English,Ankara,Raymar Hotels Ankara,5,5
English,Beijing,Novotel Beijing Peace,5,5
English,Beijing,"Holiday Inn Express Beijing Dongzhimen, an IHG Hotel",5,5
English,Beijing,The Great Wall Hotel Beijing,5,5
English,Beijing,"Holiday Inn Express Beijing Temple of Heaven, an IHG Hotel",5,5
English,Beijing,SonGy Hundred-year Courtyard Hotel,5,5
English,Beijing,Grand Millennium Beijing,5,5
English,Beijing,"Holiday Inn Temple Of Heaven Beijing, an IHG Hotel",5,5
English,Beijing,Guo Ji Yi Yuan Hotel,5,5
English,Beijing,Peking Youth Hostel,5,5
English,Beijing,New World Beijing Hotel,5,5
English,Berlin,AMANO East Side,5,5
English,Berlin,BlnCty Hotel,5,5
English,Berlin,numa I Arc Rooms & Apartments,5,5
English,Berlin,Eurostars Berlin,5,5
English,Berlin,Ibis budget Berlin Potsdamer Platz,5,5
English,Berlin,Ballhaus Berlin Hostel,5,5
English,Berlin,Hotel Vivaldi Berlin am Kurfürstendamm,5,5
English,Berlin,The Westin Grand Berlin,5,5
English,Berlin,Estrel Berlin,5,5
English,Berlin,Generator Berlin Mitte,5,5
English,Bucharest,Moxy Bucharest Old Town,5,5
English,Bucharest,"The Marmorosch Bucharest, Autograph Collection",5,5
English,Bucharest,Central Guesthouse,5,5
English,Bucharest,Upstairs Boutique,5,5
English,Bucharest,"Central Hotel, Trademark Collection by Wyndham",5,5
English,Bucharest,Vitan ApartHotel,5,5
English,Bucharest,Hotel Michelangelo,5,5
English,Bucharest,Tomis Garden Aparthotel Bucuresti,5,5
English,Bucharest,AT Central Apartments,5,5
English,Bucharest,The Embassy Nord,5,5
English,Madrid,Pestana CR7 Gran Vía Madrid,5,5
English,Madrid,Riu Plaza España,5,5
English,Madrid,Eurostars Madrid Tower,5,5
English,Madrid,NH Barajas Airport,5,5
English,Madrid,Catalonia Gran Vía Madrid,5,5
English,Madrid,Axel Hotel Madrid - Adults Only,5,5
English,Madrid,Eurostars Casa de la Lírica,5,5
English,Madrid,Emperador,5,5
English,Madrid,Hotel Avenida Gran Vía,5,5
English,Madrid,Generator Madrid,5,5
English,New Delhi,Hotel Krishna Deluxe-By RCG Hotels,5,5
English,New Delhi,Hotel Opera New Delhi,5,5
English,New Delhi,UDS Villa - Scandinavian B&B,5,5
English,New Delhi,Hyatt Regency Delhi,5,5
English,New Delhi,The Prime Delhi,5,5
English,New Delhi,FabHotel White Klove Paharganj,5,5
English,New Delhi,Hotel International Inn - Near Delhi Airport,5,5
English,New Delhi,"The Ashok, New Delhi",5,5
English,New Delhi,Andaz Delhi Aerocity- Concept by Hyatt,5,5
English,New Delhi,Bloomrooms @ New Delhi Railway Station,5,5
English,Paris,Hotel Eiffel Seine,5,5
English,Paris,Motel One Paris-Porte Dorée,5,5
English,Paris,Hotel Nation Montmartre,5,5
English,Paris,Adveniat Paris,5,5
English,Paris,Hôtel Lodge In Paris 13,5,5
English,Paris,Hotel Mimosa Paris,5,5
English,Paris,citizenM Paris Champs-Élysées,5,5
English,Paris,Hotel Minerve,5,5
English,Paris,Courtyard by Marriott Paris Gare de Lyon,5,5
English,Paris,Sofitel Le Scribe Paris Opera,5,5
English,Rome,Hotel 77 Seventy-Seven - Maison D'Art Collection,5,5
English,Rome,The Hive Hotel,5,5
English,Rome,Hotel 87 eighty-seven - Maison d'Art Collection,5,5
English,Rome,NH Roma Villa Carpegna,5,5
English,Rome,The Spanish Suite Campo de' Fiori,5,5
English,Rome,NH Collection Roma Centro,5,5
English,Rome,Hotel 55 Fifty-Five - Maison d'Art Collection,5,5
English,Rome,Alpi Hotel,5,5
English,Rome,Exe International Palace,5,5
English,Rome,Hotel Villa Pamphili Roma,5,5
English,Seoul,Hotel Skypark Central Myeongdong,5,5
English,Seoul,Hamilton Hotel,5,5
English,Seoul,Orakai Insadong Suites,5,5
English,Seoul,Imperial Palace Boutique Hotel,5,5
English,Seoul,LOTTE City Hotel Myeongdong,5,5
English,Seoul,"Four Points by Sheraton Josun, Seoul Station",5,5
English,Seoul,Stay Hotel Gangnam,5,5
English,Seoul,Ibis Styles Ambassador Seoul Myeong-dong,5,5
English,Seoul,Hotel Skypark Dongdaemun I,5,5
English,Seoul,Hotel Skypark Myeongdong 1,5,5
English,Washington,Generator Hotel Washington DC,5,5
English,Washington,Motto by Hilton Washington DC City Center,5,5
English,Washington,Hilton Garden Inn Washington DC Downtown,5,5
English,Washington,State Plaza Hotel,5,5
English,Washington,Courtyard by Marriott Washington Downtown/Convention Center,5,5
English,Washington,Glover Park Hotel Georgetown,5,5
English,Washington,Hamilton Hotel - Washington DC,5,5
English,Washington,Riggs Washington DC,5,5
English,Washington,Hilton Washington DC Capitol Hill,5,5
English,Washington,Beacon Hotel & Corporate Quarters,5,5
